object_id,slope,profile_curvature,planar_curvature,lithology,twi,rainfall,ndvi,distance_to_river,distance_to_fault,slope_unit,slope_structure,hazard_label,rainfall_slope_interaction,saturation_potential,fault_vulnerability,stream_power_index_approx,disturbance_index,hydro_stress
1791616,6,6,6,3,6,3.0,8,2,2,75,1,0,18,18,1.0,36,8,0.4918032786885246
1810030,5,7,5,3,3,3.0,6,2,2,75,1,0,15,9,1.0,15,8,0.9677419354838708
3565640,1,8,6,3,4,7.0,6,2,4,43,4,0,7,28,0.6,4,6,1.707317073170732
3421300,2,6,6,3,1,7.0,8,2,3,20,4,0,14,7,0.75,2,7,6.363636363636363
3023949,3,5,6,3,3,5.0,6,2,1,23,4,0,15,15,1.5,9,9,1.6129032258064515
3624707,5,5,4,0,5,5.0,9,-1,1,25,4,0,25,25,0.0,25,12,0.9803921568627452
1505540,3,5,6,2,6,3.0,8,5,2,3,4,0,9,18,0.6666666666666666,18,5,0.4918032786885246
2448458,7,7,4,3,5,8.0,9,1,3,10,5,0,56,40,0.75,35,8,1.5686274509803924
2759562,8,5,6,3,6,4.0,8,4,1,47,1,0,32,24,1.5,48,7,0.6557377049180328
569592,6,4,7,2,5,2.0,8,4,2,96,4,0,12,10,0.6666666666666666,30,6,0.3921568627450981
576209,4,5,6,2,5,3.0,2,1,3,0,0,0,12,15,0.5,20,8,0.5882352941176471
1660251,4,5,6,2,4,2.0,9,3,1,7,4,0,8,8,1.0,16,8,0.4878048780487805
1289249,2,6,6,2,6,1.0,6,1,3,2,5,0,2,6,0.5,12,8,0.1639344262295082
2459772,4,6,6,3,3,5.0,8,2,3,10,5,0,20,15,0.75,12,7,1.6129032258064515
2242951,7,7,4,3,3,6.0,8,2,3,64,1,0,42,18,0.75,21,7,1.935483870967741
602237,4,6,5,2,3,4.0,8,2,2,96,4,0,16,12,0.6666666666666666,12,8,1.2903225806451613
455361,2,7,5,2,5,2.0,7,5,4,105,4,0,4,10,0.4,10,3,0.3921568627450981
3201110,8,7,2,3,5,4.0,5,2,1,20,4,0,32,20,1.5,40,9,0.7843137254901962
1055210,3,6,7,6,2,4.0,6,2,1,113,5,0,12,8,3.0,6,9,1.9047619047619049
630930,6,6,6,2,3,3.0,6,1,2,0,0,0,18,9,0.6666666666666666,18,9,0.9677419354838708
2158972,7,3,7,3,5,3.0,9,3,3,66,4,0,21,15,0.75,35,6,0.5882352941176471
628903,3,5,4,2,4,1.0,8,3,1,96,4,0,3,4,1.0,12,8,0.2439024390243902
3276506,2,5,7,3,3,6.0,9,3,3,118,3,0,12,18,0.75,6,6,1.935483870967741
1874772,2,6,6,3,7,3.0,8,1,3,72,1,0,6,21,0.75,14,8,0.4225352112676057
